Program Name & Year,Client Name for Letters,Application Number G2,Description Project Current,Description Detailed Current,Application Status,Date Approval,Amount Total Approved,Activity,Activity - Multisport,Target Group,Capital Grant,Project Locality,LGA,State Electorate,State Region,SRQ Office Name,Federal Electorate,Funding Category,Description Project Name,Program Name
Indigenous Community Sport and Recreation Program 2012,Qpcywa - Napranum,I-034-00001,"improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.","improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.",Approved,18/10/2012,417250,Sport & Recreation Officer,Sport & Recreation Officer,Multiple Target Groups,False,Mission River,Cook,Cook,Far North Qld,Far North Region,Leichhardt,Special Initiative,Indigenous Community Sport and Recreation Program,Indigenous Community Sport and Recreation
Indigenous Community Sport and Recreation Program 2012,Qpcywa - Mapoon,I-034-00004,"improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.","improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.",Approved,18/10/2012,173057,Sport & Recreation Officer,Sport & Recreation Officer,Multiple Target Groups,False,Mapoon,Mapoon [2005 data],Cook [2005 data],Far North Qld,Far North Region,Leichhardt [2005 data],Special Initiative,Indigenous Community Sport and Recreation Program,Indigenous Community Sport and Recreation
Indigenous Community Sport and Recreation Program 2012,Qpcywa - Townsville,I-034-00005,"Improve the health and wellbeing of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.","Improve the health and wellbeing of Queensland Indigneous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthrn community capacity to plan and deliver sport and recreation opportunities.",Approved,18/10/2012,165683,Sport & Recreation Officer,Sport & Recreation Officer,Multiple Target Groups,False,Garbutt,Townsville,Townsville,North Qld,Northern Region,Herbert,Special Initiative,Indigenous Community Sport and Recreation Program,Indigenous Community Sport and Recreation
Indigenous Community Sport and Recreation Program 2012,Qpcywa - Townsville,I-034-00006,"Improve the health and wellbeing of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.","Improve the health and wellbeing of Queensland Indigneous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthrn community capacity to plan and deliver sport and recreation opportunities.",Approved,18/10/2012,165683,Sport & Recreation Officer,Sport & Recreation Officer,Multiple Target Groups,False,Rasmussen,Townsville,Thuringowa,North Qld,Northern Region,Herbert,Special Initiative,Indigenous Community Sport and Recreation Program,Indigenous Community Sport and Recreation
Indigenous Community Sport and Recreation Program 2012,QPCYWA - Hope Vale,I-034-00007,"improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.","improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.",Approved,18/10/2012,417250,Sport & Recreation Officer,Sport & Recreation Officer,Multiple Target Groups,False,Hope Vale,Cook,Cook,Far North Qld,Far North Region,Leichhardt,Special Initiative,Indigenous Community Sport and Recreation Program,Indigenous Community Sport and Recreation
Indigenous Community Sport and Recreation Program 2012,QPCYWA - Wujal Wujal,I-034-00008,"improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.","improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.",Approved,18/10/2012,173057,Sport & Recreation Officer,Sport & Recreation Officer,Multiple Target Groups,False,Wujal Wujal,Wujal Wujal,Cook,Far North Qld,Far North Region,Leichhardt,Special Initiative,Indigenous Community Sport and Recreation Program,Indigenous Community Sport and Recreation
Indigenous Community Sport and Recreation Program 2012,QPCYWA - Lockhart,I-034-00009,"improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.","improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.",Approved,18/10/2012,173058,Sport & Recreation Officer,Sport & Recreation Officer,Multiple Target Groups,False,Lockhart,Lockhart River,Cook,Far North Qld,Far North Region,Leichhardt,Special Initiative,Indigenous Community Sport and Recreation Program,Indigenous Community Sport and Recreation
Indigenous Community Sport and Recreation Program 2012,QPCYWA - Coen,I-034-00010,"improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.","improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.",Approved,18/10/2012,173058,Sport & Recreation Officer,Sport & Recreation Officer,Multiple Target Groups,False,Coen,Cook,Cook,Far North Qld,Far North Region,Leichhardt,Special Initiative,Indigenous Community Sport and Recreation Program,Indigenous Community Sport and Recreation
Indigenous Community Sport and Recreation Program 2012,QPCYWA - Kowanyama,I-034-00011,"improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.","improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.",Approved,18/10/2012,417250,Sport & Recreation Officer,Sport & Recreation Officer,Multiple Target Groups,False,Kowanyama,Kowanyama,Cook,Far North Qld,Far North Region,Leichhardt,Special Initiative,Indigenous Community Sport and Recreation Program,Indigenous Community Sport and Recreation
Indigenous Community Sport and Recreation Program 2012,QPCYWA - Pormpuraaw,I-034-00012,"improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.","improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.",Approved,18/10/2012,173058,Sport & Recreation Officer,Sport & Recreation Officer,Multiple Target Groups,False,Pormpuraaw,Pormpuraaw,Cook,Far North Qld,Far North Region,Leichhardt,Special Initiative,Indigenous Community Sport and Recreation Program,Indigenous Community Sport and Recreation
Indigenous Community Sport and Recreation Program 2012,QPCYWA - Mareeba,I-034-00013,"improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.","improve the health and well being of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.",Approved,18/10/2012,165683,Sport & Recreation Officer,Sport & Recreation Officer,Multiple Target Groups,False,Mareeba,Mareeba,Cook,Far North Qld,Far North Region,Kennedy,Special Initiative,Indigenous Community Sport and Recreation Program,Indigenous Community Sport and Recreation
Indigenous Community Sport and Recreation Program 2012,QPCYWA - St George,I-034-00014,"Improve the health and wellbeing of Queensland Indigenous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthen community capacity to plan and deliver sport and recreation activities.","Improve the health and wellbeing of Queensland Indigneous communities, to increase participation and opportunities in sport and recreation for Indigenous Queenslanders and to build and strengthrn community capacity to plan and deliver sport and recreation opportunities.",Approved,18/10/2012,173058,Sport & Recreation Officer,Sport & Recreation Officer,Multiple Target Groups,False,St George,Balonne,Warrego,South West,South West,Maranoa,Special Initiative,Indignenous Community Sport and Recreation Program,Indigenous Community Sport and Recreation
