Sport,Organisation,Postal Address,Postal Address Suburb,Postal Address State,Postal Address Postcode,Street Address,Street Address Suburb,Street Address State,Street Address Postcode,Phone,Email,Website
Athletics,Queensland Athletic Association Ltd,PO Box 249,Sunnybank,QLD,4109,"Level 3, Queensland Sports and Athletic Centre, Kessels Rd",Nathan,QLD,4111,(07) 3343 5653,info@qldathletics.org.au,www.qldathletics.org.au
Athletics,Queensland Little Athletic Association Inc,PO Box 6037,Fairfield Gardens,QLD,4103,15 Orontes Road,Yeronga,QLD,4104,(07) 3255 9436,info@qlaa.asn.au ,www.qlaa.asn.au
Australian Football,AFL Queensland Ltd,PO Box 3132,Yeronga LPO,QLD,4104,Cansdale Street,Yeronga,QLD,4104,(07) 3033 5400,admin@aflq.com.au,www.aflq.com.au
Badminton,Queensland Badminton Association Inc,,,,,"Suite 2.01 Sports House, Cnr Caxton and Castlemaine Streets",Milton,QLD,4064,(07) 3162 1281,secretary@qba.net.au,www.qba.net.au
Baseball,Baseball Queensland Inc,PO Box 124,Spring Hill,QLD,4004,"Suite 1.11 Sports House, Cnr Caxton and Castlemaine Stre",Milton,QLD,4064,(07) 3876 2222,admin@baseballqld.asn.au,www.qld.baseball.com.au
Basketball,Queensland Basketball Inc,"c/o The Sleeman Sports Complex, Cnr Old Cleveland & Tilley Rds",Chandler,QLD,4115,"Sleeman Sports Complex, Cnr Old Cleveland & Tilley Rds",Chandler,QLD,4155,(07) 3377 9100,admin@basketballqld.net.au,www.basketballqld.net.au
Bicycle Motocross,BMX Queensland Inc,PO Box 1238,Carindale,QLD,4152,"Sleeman Sports Complex, Cnr Old Cleveland and Tilley Roads",Chandler,QLD,4155,(07) 3245 3012,office@bmxq.org.au ,www.bmxq.org.au
Billiards and snooker,Queensland Billiards and Snooker Association,PO Box 417,Spring Hill,QLD,4004,"Suite 2.07 Sports House, Cnr Castlemaine and Caxton Streets",Milton,QLD,4064,(07) 3876 4147,qbsa@qbsa.com.au,www.qbsa.com.au
Bowls,Bowls Queensland,PO Box 476,Alderly,QLD,4051,72 Pickering St,Enoggera,QLD,4051,(07) 3355 9988,admin@bowlsqld.org,www.bowlsqld.org
Bowls,Queensland Indoor Bowling Association Inc,15 Ivory Creek Road,Toogoolawah,QLD,4313,,,,,(07) 5423 1646,annette.dunstan@bigpond.com.au,www.qldindoorbiasbowls.com.au
Boxing,Boxing Queensland Inc,PO Box 848,Beenleigh,QLD,4207,,,,,(07) 3287 1431,boxingqld@bigpond.com,www.qabai.org
Canoeing,Australian Outrigger Canoe Racing Association - Queensland State Centre,12 Leura Place,Helensvale,QLD,4212,,,,,0419 249 360,anna.langton@sca.com,www.aocra.com.au
